lat,lng
35.2511689,126.7473351
35.2508024,126.7476375
35.2505584,126.7484433
35.2515656,126.7482191
35.2515438,126.7487249
35.2518747,126.7493461
35.2517959,126.7495671
35.2526993,126.749773
35.2514783,126.7493632
35.2512313,126.7498834
35.2511663,126.7505767
35.2517046,126.7442392
35.2345051,126.736287
35.2412028,126.7432695
35.2412028,126.7432695
35.2412028,126.7432695
35.2408414,126.7423192
35.2406507,126.7421794
35.2427281,126.7425977
35.2422681,126.7416929
35.2411387,126.7414357
35.2408107,126.7411002
35.2405375,126.7408298
35.2406067,126.740554
35.240473,126.739831
35.2395251,126.7388239
35.2452977,126.740932
35.2382594,126.738459
35.235762,126.744463
35.2356479,126.7438935
35.2357176,126.7436617
35.235998,126.7428884
35.2364214,126.7428599
35.2367391,126.7439426
35.2365143,126.744001
35.2362012,126.7433577
35.2362012,126.7433577
35.2365631,126.742616
35.233846,126.7422295
35.2350621,126.7430347
35.2358254,126.7427592
35.2358215,126.7415179
35.2358254,126.7427592
35.2360097,126.742273
35.2364484,126.7419916
35.2363019,126.7417741
35.2363977,126.7405861
35.2374514,126.7413609
35.2369414,126.7408634
35.236824,126.7399753
35.2364446,126.742497
35.2365519,126.7389468
35.2272111,126.7404096
35.2376757,126.7429943
35.2375903,126.7425892
35.2358215,126.7415179
35.2370076,126.7420269
35.2357189,126.740311
35.2328682,126.7374878
35.2303162,126.7408339
35.2298646,126.7398852
35.2296453,126.7387351
35.2317504,126.7392079
35.2331338,126.7352976
35.2318506,126.7367126
35.2315294,126.7353005
35.2323079,126.7347611
35.2318375,126.7345926
35.2322593,126.7344213
35.2335099,126.7333363
35.2316204,126.7345191
35.2314332,126.7347198
35.2311183,126.7347796
35.2308019,126.7346856
35.2309151,126.7343104
35.2315294,126.7353005
35.2315294,126.7353005
35.2306027,126.733744
35.2303959,126.7337911
35.2295002,126.7334645
35.2296802,126.7334397
35.2264989,126.7352138
35.2270445,126.7348099
35.2278087,126.7354791
35.2289593,126.7351866
35.2282958,126.7337908
35.2294199,126.7352673
35.2294389,126.7362227
35.2294251,126.7349047
35.22817897,126.7349043
35.2294389,126.7362227
35.2294389,126.7362227
35.2294389,126.7362227
35.2282074,126.7356816
35.2282074,126.7356816
35.2273872,126.7356833
35.2335099,126.7333363
35.2361625,126.7335917
35.2361625,126.7335917
35.2370245,126.7341385
35.2309469,126.7339034
35.2358675,126.7381444
35.2400857,126.738991
35.2408107,126.7411002
35.2304086,126.7349993
35.2296453,126.7387351
35.2364001,126.7399489
35.2370446,126.7403784
35.2358215,126.7415179
35.2364446,126.742497
35.2302039,126.7369798
35.2510099,126.7450411
35.2510099,126.7450411
35.2409725,126.7427897
35.2438058,126.7396146
35.2438048,126.7395267
35.2469444,126.7415328
35.2419057,126.7389189
35.2451343,126.7399566
35.2292068,126.7355782
35.2369051,126.7382382
35.2375453,126.7417219
35.2298962,126.7377206
35.2359003,126.7386932
35.2407988,126.7399578
35.2277486,126.734041
35.1684582,126.7350046
35.1808701,126.7289936
35.1729482,126.7239465
35.1710669,126.7258969
35.1752492,126.7267538
35.1804707,126.7218748
35.1809546,126.7216037
35.1811641,126.7209527
35.1820992,126.7207404
35.1820671,126.7202578
